,ktr,gam,slope_ven_blast,slope_aza_blast,slope_ven_wbc,slope_aza_wbc,B,Xl1,B0,p1
8216,0.4303169053834946,0.6567557261744265,1.4997133857691347,0.916632709500805,0.7223696325456682,0.3533799264651463,1.9521657080531276,4.604608144717398,0.526401969907351,0.266509718660387
5276,0.28975179797058864,0.6666666677777783,0.531474354447741,1.285084220539541,0.0002239067312582363,1.5000000012500059,0.5018594459508913,1.7184171176578136,0.5096727736375304,0.0017164892739101156
3101,0.32668717265961555,0.6666666677777783,0.40525872655188816,0.004529830204752015,0.12978837750396244,0.06758491434228703,0.8258867994382592,1.596862365924137,0.2671745832579663,0.03307783416885728
3360,0.6666666677777767,0.2441844355022434,1.0636805715390187,0.008116409366122061,0.20255568626745624,0.091354252615013,0.6811371617003301,6.6666666777777746,0.021802180354533893,0.04137003937315926
2467,0.6666665765437099,0.6605512675268979,0.43372469388527196,0.1662219719537711,0.08140136369430839,0.00568393203359771,1.7164936928990784,2.4609347478605907,0.706328336780731,0.056649091677095476
4132,0.051484132327028066,0.6220584428556237,0.5418573275703423,1.1280205655671562,0.12858277409773444,0.006172400485419547,4.179428632267604,1.2358782118976699,5.1684846610740384e-05,0.8345431669873891
5157,0.6666666677777775,0.03533392973066218,1.4940261730709177,1.4972363702721505,0.008238183771098547,6.693279069640312e-05,2.1666803875306346,6.666666677777751,0.31990498174723164,0.012709944693089103
3110,0.6666666677777664,0.10782448968364544,1.417705401208884,1.110748420465084,2.2117575521509858e-08,0.5604644197208579,0.8296750362660708,6.6666666777777355,1.3571253088740148e-06,0.02937350873473682
8103,0.19100862452216977,0.6666666677777767,1.0545761445234323,0.5644719176092746,0.15369076117129762,0.04635358738584903,0.6548323254194919,0.8232625339876725,0.9046680378290751,0.0016294642019880404
5161,0.15301242825158154,1.2833202539626218e-05,1.0739052498345327,0.5312912871815357,0.42154766079465567,5.726871542640912e-07,0.0018237268397370702,0.1600209951942388,0.008509002995844324,0.7685923056266277
3114,0.2268058244134151,0.5418473883965088,0.7612346718295421,1.1803473252671703,1.2504784318002478,0.8839023900288803,0.46545403749375525,6.6666666777777746,5.939100387202205e-05,0.04971084473754029
8106,0.6255301368270546,0.10947269755867252,1.4445962467032698,0.09209416906620253,0.06606973378168914,1.4999936130381628,3.8802127085195104,6.318303382500171,0.010714315502205998,0.017638346087603056
3500,0.608529924923073,0.023346359614440305,0.26191980051534336,1.4782298777689407,0.03057911375611929,0.0005890551599443735,0.015083690975787696,1.0382271536089354,0.0008880218824609415,0.269671274511433
3631,0.08921860160253386,0.5531608011948581,0.0007484728395930797,0.08374313303566579,0.09701862675907234,0.8632844357615924,0.012560284229636584,0.7075517760824528,5.778626867556936,0.011616273846309172
