,ktr,gam,slope_ven,B,Xl1,B0,p1,bi
1978,0.04950494007368826,0.0003877350526572393,1.637991305571028,0.12043491382942192,0.8107410774139703,0.062233258237333326,0.5645555866645189,0.550627603089479
6074,0.15181171205981556,0.5466270608330697,4.285714247539297,0.48395390686077744,0.5020260425655168,0.07356918094704282,0.009011737168779121,0.02807971962370191
9145,0.0910532707796088,0.6593255562854584,2.783813524881951,6.910045773403441,0.09892705997728639,2.6427921003604853,0.024269250403487586,0.6666666265937167
2111,0.36679796315455726,0.5214858578826878,3.6202632471409277,0.4250589330488568,0.10536558648650772,0.2427335944372677,0.004646059364771142,0.006715047154265095
5568,0.35011467139513447,0.2726460361859293,3.6096668293534684,1.285843179433432,0.6490745875252983,3.692935434371286,0.07083111555583642,0.026113232437104228
3266,9.577077856429684e-05,0.004328733602291702,4.285051235449605,0.1826096705463226,0.01786090771648312,1.163172465382904,0.9131258094236472,0.22069672970374934
3652,0.1875485726933436,0.6666647624110017,2.9603278187379245,1.0588663414509016,0.4998977252495748,9.16666649499161,0.055031735449538224,0.27294934269742027
2886,0.07077717067017832,0.17799461658007812,3.918270209772305,9.166666667361135,0.2299132997291892,3.4564268083392373,0.030324339244473784,2.4134961397369585e-05
4935,0.312737325117189,0.610534177502288,3.8037650229151105,0.6130352161660112,0.029078364491609953,0.2898826987909656,0.01719503015052598,0.15437470782327764
6086,0.18594576053998443,0.6666666677777806,1.6372151775563106,1.6689405224493616,0.7889719363536719,0.9768990141263743,0.09770484413806074,1.3559114367417172e-05
1100,0.029928587880436293,0.6666666677777751,2.0791903195772736,9.121963474424074,0.25007685191457596,5.772488973838631,0.1306499828809153,6.228812161860749e-05
8013,0.022027860573872626,0.07047587284711396,0.0024474331433061015,7.590250843099505,2.2552513551154253e-06,0.6637027273440823,0.025623793792884427,0.20662658201352105
4046,0.19018347520429665,0.6666666677777664,2.252857261399331,0.057202046829585004,0.4599918434143566,0.1961325722643295,0.08124603640218166,0.016063856697308036
6735,0.39727348649842736,0.5009631236772399,4.1420384953850995,0.8946134823699405,0.5821446906215456,0.4886057280423028,0.09856293423394834,0.2953877324716372
9553,0.16976192452987893,0.5150033449968865,4.2857142867346845,1.8104271381429062,0.4333100557069903,0.35768723647813777,0.015720120096832404,0.09304608055310651
4181,0.2755327266170236,0.47382365096555923,0.6257137887156056,0.32994178137407176,0.112288009210959,0.04927692770866184,0.0031627129462521025,0.14976868657531653
