,blasts_train,leuk_train,neut_corr,blast_corr,neut_mape,neut_corr_2,blast_corr_2,neut_fvu_r2,blast_fvu_r2,frac_unexplained_variance_neut,frac_unexplained_variance_blast,model
2111,1.1418531983045546,0.6332183598700626,0.4716102075581283,0.9951313355370273,inf,0.4716102075581283,0.9951313355370273,0.7775838121269791,0.00971362503229245,0.696727602837473,0.008953330310580878,m1
5568,2.3935404495986727,0.3462365255157974,0.7533248343638768,0.9999999999871952,0.34499069915111197,0.7533248343638768,0.9999999999871952,0.43250169393063764,2.5609514509028486e-11,0.4207460418259886,0.017599598235233327,m1
3266,1.6597041649541822,1.2451582645415809,0.3721478179852299,0.9994817308847189,inf,0.3721478179852299,0.9994817308847189,0.8615060015688322,0.001036269627686326,0.8195212073343178,0.002481525980961452,m1
3652,2.3385361625118137,0.6739001129118936,0.4672347280201517,0.9999999999999974,inf,0.4672347280201517,0.9999999999999974,0.7816917089319348,5.10702591327572e-15,0.7626174435670525,0.019390586622494776,m1
2886,1.511007023248365,1.3861683818395392,0.64783502823398,0.9959991587557911,0.5500520512337472,0.64783502823398,0.9959991587557911,0.5803097761930784,0.007985675757756328,0.6201127561461083,0.028946335648886025,m1
4935,3.447362993371721,0.4864569864812178,0.4898252452803367,0.9438597955263347,0.8590939495394003,0.4898252452803367,0.9438597955263347,0.760071229086058,0.10912868638898565,0.7321632733871308,0.09552939474428533,m1
6086,17.936328450647732,0.9922734051819032,0.6722601602213324,0.9062679399165637,1.2667787214962922,0.6722601602213324,0.9062679399165637,0.5480662769791885,0.17867842107938758,0.5127066494801858,0.3271507596690126,m1
1100,3.770208998491423,1.8591617683265849,-0.6794658529716145,0.9697917073409846,0.7978957744507007,0.0,0.9697917073409846,1.0,0.059504044372657994,1.7067366187284279,0.09908846265175758,m1
8013,14.3300273089281,0.6648412511295959,0.35346677555683126,0.932852491931809,1.738444533429642,0.35346677555683126,0.932852491931809,0.8750612385774567,0.12978622829661424,0.8426926247862093,0.1252462919464145,m1
4046,1.472185587329192,0.0251908625390282,0.9102030834873529,0.9976024927067391,inf,0.9102030834873529,0.9976024927067391,0.17153034681011492,0.004789266545300652,0.15013289018070125,0.00458148850001807,m1
6735,4.189389442480703,0.4350657193561402,0.6374804907151841,0.9903792364183678,inf,0.6374804907151841,0.9903792364183678,0.5936186239575281,0.019148968071370787,0.5526312095538451,0.02589309025304287,m1
9553,30.61434070098609,0.4909014631782842,0.6453579931961438,0.35782569150510385,2.985142215742488,0.6453579931961438,0.35782569150510385,0.583513060617846,0.8719607744988942,0.5468959843649699,1.2399376306347658,m1
4181,10.557778160757447,0.235320258287571,0.8376750963480147,0.6575348364775006,inf,0.8376750963480147,0.6575348364775006,0.2983004329583442,0.5676479388185066,0.28523132282833247,1.7490685273634559,m1
8917,5.557714632157944,0.1479927939140635,0.9393974252543036,0.9005837636943594,inf,0.9393974252543036,0.9005837636943594,0.11753247742558515,0.18894888457010217,0.10590414630397252,0.2836381261019514,m1
8793,6.8025750693443054,0.5510965259580021,0.33729043970998923,0.7327595771586782,1.3006691409336137,0.33729043970998923,0.7327595771586782,0.8862351592802421,0.46306340208223506,0.844220722991004,1.099099371921375,m1
